visual_id,Loss_Code,lot_1
76GM469400086,,7618F536
76HG924300248,,7619C531
76HG924300381,,7619C531
76Y51V2601690,,7619C786
76Y51V2601690,,7619C786
76GS261301274,,7619F262
76GS261301277,,7619F262
76GS261301276,,7619F262
76GS261301282,,7619F262
76GS261301269,,7619F262
