lot,operation,visual_id,test_end_date,tester_id,prodgroup3,maxlidheight,minlidheight
7626F391,2090,76PN852700223,2026-06-30 04:42:26,OIS00014,GNRUCC,3866.08,3790.51
7626F391,2090,76PN852700224,2026-06-30 04:42:26,OIS00014,GNRUCC,3890.61,3795.72
7626F391,2090,76PN852700225,2026-06-30 04:42:26,OIS00014,GNRUCC,3879.41,3808.31
7626F391,2090,76PN852700226,2026-06-30 04:42:26,OIS00014,GNRUCC,3873.69,3797.3
7626F391,2090,76PN852700227,2026-06-30 04:42:26,OIS00014,GNRUCC,3881.19,3793.7
7626F391,2090,76PN852700228,2026-06-30 04:42:26,OIS00014,GNRUCC,3880.64,3799.53
7626F391,2090,76PN852700229,2026-06-30 04:42:26,OIS00014,GNRUCC,3869.35,3796.73
7626F391,2090,76PN852700230,2026-06-30 04:42:26,OIS00014,GNRUCC,3875.88,3793.51
7626F391,2090,76PN852700231,2026-06-30 04:42:26,OIS00014,GNRUCC,3858.13,3780.38
7626F391,2090,76PN852700232,2026-06-30 04:42:26,OIS00014,GNRUCC,3877.64,3781.51
7626F391,2090,76PN852700233,2026-06-30 04:42:26,OIS00014,GNRUCC,3871.5,3784.03
7626F391,2090,76PN852700234,2026-06-30 04:42:26,OIS00014,GNRUCC,3855.92,3807.28
7626F391,2090,76PN852700235,2026-06-30 04:42:26,OIS00014,GNRUCC,3860.43,3787.45
7626F391,2090,76PN852700236,2026-06-30 04:42:26,OIS00014,GNRUCC,3889.18,3791.5
7626F391,2090,76PN852700237,2026-06-30 04:42:26,OIS00014,GNRUCC,3867.5,3816.67
7626F391,2090,76PN852700238,2026-06-30 04:42:26,OIS00014,GNRUCC,3859.39,3792.72
7626F391,2090,76PN852700239,2026-06-30 04:42:26,OIS00014,GNRUCC,3874.34,3793.76
7626F391,2090,76PN852700273,2026-06-30 04:42:26,OIS00014,GNRUCC,3869.98,3792.14
7626F391,2090,76PN852700274,2026-06-30 04:42:26,OIS00014,GNRUCC,3865.77,3792.81
7626F391,2090,76PN852700275,2026-06-30 04:42:26,OIS00014,GNRUCC,3868.85,3790.27
7626F391,2090,76PN852700276,2026-06-30 04:42:26,OIS00014,GNRUCC,3867.52,3799.85
7626F391,2090,76PN852700277,2026-06-30 04:42:26,OIS00014,GNRUCC,3884.74,3792.67
7626F391,2090,76PN852700278,2026-06-30 04:42:26,OIS00014,GNRUCC,3870.19,3792.7
7626F391,2090,76PN852700279,2026-06-30 04:42:26,OIS00014,GNRUCC,3872.21,3793.68
7626F391,2090,76PN852700280,2026-06-30 04:42:26,OIS00014,GNRUCC,3872.44,3781.62
7626F391,2090,76PN852700281,2026-06-30 04:42:26,OIS00014,GNRUCC,3879.47,3795.32
7626F391,2090,76PN852700282,2026-06-30 04:42:26,OIS00014,GNRUCC,3857.13,3813.85
7626F391,2090,76PN852700283,2026-06-30 04:42:26,OIS00014,GNRUCC,3865.92,3784.45
7626F391,2090,76PN852700284,2026-06-30 04:42:26,OIS00014,GNRUCC,3867.63,3793.1
7626F391,2090,76PN852700285,2026-06-30 04:42:26,OIS00014,GNRUCC,3864.63,3808.35
7626F391,2090,76PN852700286,2026-06-30 04:42:26,OIS00014,GNRUCC,3885.97,3786.88
7626F391,2090,76PN852700287,2026-06-30 04:42:26,OIS00014,GNRUCC,3876.14,3782.05
7626F391,2090,76PN852700288,2026-06-30 04:42:26,OIS00014,GNRUCC,3867.7,3795.36
7626F391,2090,76PN852700289,2026-06-30 04:42:26,OIS00014,GNRUCC,3881.1,3788.66
7626F391,2090,76PN852700290,2026-06-30 04:42:26,OIS00014,GNRUCC,3867.99,3774.91
7626F391,2090,76PN852700291,2026-06-30 04:42:26,OIS00014,GNRUCC,3882.28,3788.22
7626F391,2090,76PN852700292,2026-06-30 04:42:26,OIS00014,GNRUCC,3870.68,3783.68
7626F391,2090,76PN852700293,2026-06-30 04:42:26,OIS00014,GNRUCC,3873.65,3773.08
7626F391,2090,76PN852700294,2026-06-30 04:42:26,OIS00014,GNRUCC,3866.21,3801.75
7626F391,2090,76PN852700295,2026-06-30 04:42:26,OIS00014,GNRUCC,3889.23,3787.97
7626F391,2090,76PN852700296,2026-06-30 04:42:26,OIS00014,GNRUCC,3885.68,3782.34
7626F391,2090,76PN852700297,2026-06-30 04:42:26,OIS00014,GNRUCC,3874.83,3793.83
7626F391,2090,76PN852700298,2026-06-30 04:42:26,OIS00014,GNRUCC,3886.58,3814.02
7626F391,2090,76PN852700299,2026-06-30 04:42:26,OIS00014,GNRUCC,3892.44,3807.04
7626F391,2090,76PN852700333,2026-06-30 04:42:26,OIS00014,GNRUCC,3869.79,3810.56
7626F391,2090,76PN852700334,2026-06-30 04:42:26,OIS00014,GNRUCC,3895.25,3798.73
7626F391,2090,76PN852700335,2026-06-30 04:42:26,OIS00014,GNRUCC,3878.61,3795.51
7626F391,2090,76PN852700336,2026-06-30 04:42:26,OIS00014,GNRUCC,3872.3,3815.19
7626F391,2090,76PN852700337,2026-06-30 04:42:26,OIS00014,GNRUCC,3880.77,3802.01
7626F391,2090,76PN852700338,2026-06-30 04:42:26,OIS00014,GNRUCC,3874.49,3785.84
7626F391,2090,76PN852700339,2026-06-30 04:42:26,OIS00014,GNRUCC,3858.26,3792.86
7626F391,2090,76PN852700340,2026-06-30 04:42:26,OIS00014,GNRUCC,3860.08,3785.83
7626F391,2090,76PN852700341,2026-06-30 04:42:26,OIS00014,GNRUCC,3878.16,3782.22
7626F391,2090,76PN852700342,2026-06-30 04:42:26,OIS00014,GNRUCC,3859.5,3806.77
7626F391,2090,76PN852700343,2026-06-30 04:42:26,OIS00014,GNRUCC,3853.92,3774.41
7626F391,2090,76PN852700344,2026-06-30 04:42:26,OIS00014,GNRUCC,3855.72,3785.59
7626F391,2090,76PN852700345,2026-06-30 04:42:26,OIS00014,GNRUCC,3865.73,3799.21
7626F391,2090,76PN852700346,2026-06-30 04:42:26,OIS00014,GNRUCC,3871.78,3786.11
7626F391,2090,76PN852700347,2026-06-30 04:42:26,OIS00014,GNRUCC,3856.84,3784.18
7626F391,2090,76PN852700348,2026-06-30 04:42:26,OIS00014,GNRUCC,3868.05,3795.63
7626F391,2090,76PN852700349,2026-06-30 04:42:26,OIS00014,GNRUCC,3877.16,3794.49
7626F391,2090,76PN852700350,2026-06-30 04:42:26,OIS00014,GNRUCC,3869.73,3793.88
7626F391,2090,76PN852700351,2026-06-30 04:42:26,OIS00014,GNRUCC,3864.98,3795.91
7626F391,2090,76PN852700352,2026-06-30 04:42:26,OIS00014,GNRUCC,3865.23,3779.34
7626F391,2090,76PN852700353,2026-06-30 04:42:26,OIS00014,GNRUCC,3869.73,3788.76
7626F391,2090,76PN852700354,2026-06-30 04:42:26,OIS00014,GNRUCC,3861.26,3795.44
7626F391,2090,76PN852700355,2026-06-30 04:42:26,OIS00014,GNRUCC,3884.1,3796.07
7626F391,2090,76PN852700356,2026-06-30 04:42:26,OIS00014,GNRUCC,3880.68,3792.2
7626F391,2090,76PN852700357,2026-06-30 04:42:26,OIS00014,GNRUCC,3865.06,3816.79
7626F391,2090,76PN852700358,2026-06-30 04:42:26,OIS00014,GNRUCC,3859.59,3789.2
7626F391,2090,76PN852700359,2026-06-30 04:42:26,OIS00014,GNRUCC,3879.94,3802.84
7626F391,2090,76PN852700360,2026-06-30 04:42:26,OIS00014,GNRUCC,3877.41,3810.88
7626F391,2090,76PN852700361,2026-06-30 04:42:26,OIS00014,GNRUCC,3867.8,3789.53
7626F391,2090,76PN852700362,2026-06-30 04:42:26,OIS00014,GNRUCC,3893.6,3787.81
7626F391,2090,76PN852700363,2026-06-30 04:42:26,OIS00014,GNRUCC,3875.17,3806.34
7626F391,2090,76PN852700364,2026-06-30 04:42:26,OIS00014,GNRUCC,3884.91,3805.81
7626F391,2090,76PN852700365,2026-06-30 04:42:26,OIS00014,GNRUCC,3880.81,3783.25
7626F391,2090,76PN852700366,2026-06-30 04:42:26,OIS00014,GNRUCC,3877.16,3814.23
7626F391,2090,76PN852700367,2026-06-30 04:42:26,OIS00014,GNRUCC,3885.78,3801.38
7626F391,2090,76PN852700368,2026-06-30 04:42:26,OIS00014,GNRUCC,3880.91,3783.62
7626F391,2090,76PN852700369,2026-06-30 04:42:26,OIS00014,GNRUCC,3881.25,3819.48
