lot,operation,visual_id,test_end_date,tester_id,prodgroup3,bincode
7626F391,2090,76PN852700018,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700019,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700020,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700045,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700046,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700047,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700048,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700049,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700050,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700051,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700052,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700053,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700054,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700055,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700056,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700057,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700058,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700059,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700060,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700061,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700062,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700174,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700175,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700176,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700177,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700178,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700179,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700180,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700181,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700182,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700183,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700184,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700185,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700186,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700187,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700188,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700189,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700190,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700191,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700192,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700193,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700194,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700195,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700196,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700197,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700198,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700199,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700200,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700201,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700202,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700203,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700204,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700205,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700206,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700216,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700217,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700218,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700219,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700220,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700221,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700222,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700223,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700224,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700225,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700226,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700227,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700228,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700229,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700230,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700231,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700232,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700233,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700234,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700235,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700236,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700237,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700238,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700239,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700273,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700274,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700275,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700276,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700277,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700278,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700279,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700280,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700281,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700282,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700283,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700284,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700285,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700286,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700287,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700288,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700289,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700290,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700291,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700292,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700293,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700294,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700295,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700296,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700297,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700298,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700299,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700333,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700334,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700335,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700336,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700337,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700338,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700339,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700340,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700341,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700342,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700343,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700344,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700345,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700346,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700347,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700348,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700349,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700350,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700351,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700352,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700353,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700354,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700355,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700356,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700357,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700358,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700359,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700360,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700361,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700362,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700363,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700364,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700365,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700366,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700367,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700368,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700369,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700370,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700371,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700372,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700373,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700374,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700375,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700376,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700377,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700378,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700379,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700380,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700381,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700382,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700383,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700384,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700385,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700386,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700387,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700388,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700389,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700390,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700391,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700392,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700405,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700406,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700407,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700408,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700409,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700410,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700411,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700412,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700413,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700414,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700415,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700416,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700417,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700418,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700419,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700420,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700421,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700422,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700423,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700424,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700425,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700426,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700427,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700428,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700429,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700430,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700431,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700432,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700433,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700434,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700435,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700436,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700437,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700438,2026-06-30 04:42:26,OIS00014,GNRUCC,4
