facility,lot,operation,test_end_date,tester_id,program_name,prodgroup3,visual_id,tray_or_carrier_id,ws_loss_code,entity,bond_station,carrier_x,carrier_y,lane_number,entity_bs_x_y,site,prodgroup3_1,sub_plane_x,sub_plane_y,lower_x_limit,upper_x_limit,lower_y_limit,upper_y_limit,Set_Limit_plane_X,Set_Limit_plane_Y,Flag,Dense_rank
A15,7627F766,1960,2026-07-07 02:46:24,OIS00001,1273_APOLLO_LAKE_F0,AXLF,76FA830600840,49,,DIA001,1,5,2,1,DIA001_1_5_2,A15,AXLF,151.783,-514.017,-200.0,200.0,-500.0,500.0,,Y_flag,flag,1
A15,7627G027,1960,2026-07-07 04:52:19,OIS00001,1273_APOLLO_LAKE_F0,AXLF,76VB334601824,44,,DIA001,3,5,2,1,DIA001_3_5_2,A15,AXLF,111.647,-509.859,-200.0,200.0,-500.0,500.0,,Y_flag,flag,1
