LOT,DUMMY,prodgroup3,DLA_operation,lot_1,Current_operation,movedin,Lot_MVIN_CURE,movein_date,entity,facility,visual_id,bond_station,carrier_x,carrier_y,onrework,onhold,route,quantity,sub_plane_x,sub_plane_y,lower_x_limit,upper_x_limit,lower_y_limit,upper_y_limit,entity_bs_x_y
DUMMY,DUMMY,,,,,,,,,,,,,,,,,,,,,,,,
7231G166,,SPRMCP,2090,7231G166,1268,N,Y,,DIA010,A15,72JX956501225,1,1,1,,,,,,,,,,,
7231G166,,SPRMCP,2090,7231G166,1268,N,Y,,DIA010,A15,72JX956501188,1,1,1,,,,,,,,,,,
7231G166,,SPRMCP,2090,7231G166,1268,N,Y,,DIA010,A15,72JX956500002,1,1,1,,,,,,,,,,,
7232G230,,SPRMCP,2090,7232G230,1268,N,Y,,DIA007,A15,722G2N2500527,1,1,0,,,,,,,,,,,
7232G230,,SPRMCP,2090,7232G230,1268,N,Y,,DIA007,A15,722G2N2501796,1,1,0,,,,,,,,,,,
7232G230,,SPRMCP,2090,7232G230,1268,N,Y,,DIA007,A15,722G2N2501415,1,2,0,,,,,,,,,,,
7232G230,,SPRMCP,2090,7232G230,1268,N,Y,,DIA007,A15,722G2N2501717,1,2,0,,,,,,,,,,,
7232G230,,SPRMCP,2090,7232G230,1268,N,Y,,DIA007,A15,722G2N2500188,1,1,0,,,,,,,,,,,
7232G230,,SPRMCP,2090,7232G230,1268,N,Y,,DIA007,A15,722G2N2500195,1,2,0,,,,,,,,,,,
7232G230,,SPRMCP,2090,7232G230,1268,N,Y,,DIA007,A15,722G2N2500233,1,2,0,,,,,,,,,,,
7232G230,,SPRMCP,2090,7232G230,1268,N,Y,,DIA007,A15,722G2N2501523,1,2,0,,,,,,,,,,,
7232G147,,SPRMCP,2090,7232G147,1268,Y,Y,2022-08-11 04:02:25,DIA007,A15,728A9G4400540,1,2,0,,,,,,,,,,,
7232G147,,SPRMCP,2090,7232G147,1268,Y,Y,2022-08-11 04:02:25,DIA007,A15,728A9G4400390,1,2,0,,,,,,,,,,,
7232G147,,SPRMCP,2090,7232G147,1268,Y,Y,2022-08-11 04:02:25,DIA007,A15,722G2N2501899,1,1,0,,,,,,,,,,,
7232G147,,SPRMCP,2090,7232G147,1268,Y,Y,2022-08-11 04:02:25,DIA007,A15,728A9G4400491,1,2,0,,,,,,,,,,,
7232G147,,SPRMCP,2090,7232G147,1268,Y,Y,2022-08-11 04:02:25,DIA007,A15,722G2N2501861,1,2,0,,,,,,,,,,,
7232G147,,SPRMCP,2090,7232G147,1268,Y,Y,2022-08-11 04:02:25,DIA007,A15,722G2N2501855,1,2,0,,,,,,,,,,,
7232G813,,SPRMCP,2090,7232G813,1268,N,Y,,DIA007,A15,72UF733400659,1,1,0,,,,,,,,,,,
7232G813,,SPRMCP,2090,7232G813,1268,N,Y,,DIA007,A15,72UF733400833,1,1,0,,,,,,,,,,,
7232G813,,SPRMCP,2090,7232G813,1268,N,Y,,DIA007,A15,72UF733400014,1,1,0,,,,,,,,,,,
7232G813,,SPRMCP,2090,7232G813,1268,N,Y,,DIA007,A15,72UF733400082,1,2,0,,,,,,,,,,,
7233D300,,SPRMCP,2090,7233D300,1268,N,Y,,DIA010,A15,72BW533600932,1,1,1,,,,,,,,,,,
7233D300,,SPRMCP,2090,7233D300,1268,N,Y,,DIA010,A15,72BW533600811,1,1,1,,,,,,,,,,,
7233D300,,SPRMCP,2090,7233D300,1268,N,Y,,DIA010,A15,72BW533600729,1,1,1,,,,,,,,,,,
7233D300,,SPRMCP,2090,7233D300,1268,N,Y,,DIA010,A15,72BW533601253,1,1,1,,,,,,,,,,,
7233D300,,SPRMCP,2090,7233D300,1268,N,Y,,DIA010,A15,72BW533601165,1,1,1,,,,,,,,,,,
7233D300,,SPRMCP,2090,7233D300,1268,N,Y,,DIA010,A15,72BW533601289,1,1,1,,,,,,,,,,,
7233D300,,SPRMCP,2090,7233D300,1268,N,Y,,DIA010,A15,72BW533601351,1,1,1,,,,,,,,,,,
7233D300,,SPRMCP,2090,7233D300,1268,N,Y,,DIA010,A15,72BW533600626,1,1,1,,,,,,,,,,,
7233D300,,SPRMCP,2090,7233D300,1268,N,Y,,DIA010,A15,72BW533600643,1,1,1,,,,,,,,,,,
7233D300,,SPRMCP,2090,7233D300,1268,N,Y,,DIA010,A15,72BW533600951,1,1,1,,,,,,,,,,,
7233D300,,SPRMCP,2090,7233D300,1268,N,Y,,DIA010,A15,72BW533601160,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100297,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100413,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,72353LD100050,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100043,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,72353LD100255,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,72353LD100459,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,72353LD100311,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100418,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,72353LD100233,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100212,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100274,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100406,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100247,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100087,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100033,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100031,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,7229P0X100130,1,1,1,,,,,,,,,,,
7233H067,,SPRMCP,2090,7233H067,1268,N,Y,,DIA010,A15,72353LD100517,1,1,1,,,,,,,,,,,
