prod,operator,link,lot,out_date,cj03,cj04,cj37
SHD,mabdulwa,TCB006,7619C786,2026-05-04 07:31:10,,1.0,
SHD,mmohdbaw,TCB006,7619F262,2026-05-08 17:55:02,5.0,,
SHD,norharya,TCB006,7619C531,2026-05-03 17:16:35,,,2.0
SHD,nurhida1,TCB006,7618F536,2026-05-01 05:23:12,1.0,,
